date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
29/02/2012,68.91517555,69.57200664,68.05888125,68.80337451,238003038,542.44,0,547.61,535.7,541.56,1,34000400
01/03/2012,69.17308022,69.64823462,68.44891441,69.64315276,170817670,544.47,0,548.21,538.77,548.17,1,24402500
02/03/2012,69.26328332,69.46909887,68.92533928,69.14385949,107928207,545.18,0,546.8,542.52,544.24,1,15418300
05/03/2012,67.7361828,69.55549058,66.82652891,69.29377452,202281302,533.16,0,547.48,526,545.42,1,28897300
06/03/2012,67.36774756,67.80351751,65.58413988,66.52923978,202559902,530.26,0,533.69,516.221,523.66,1,28937100
07/03/2012,67.42237761,68.32313824,66.483503,68.19863254,199630399,530.69,0,537.78,523.3,536.8,1,28518600
08/03/2012,68.85800457,68.9850512,67.6040543,67.93056415,129114429,541.99,0,542.99,532.12,534.69,1,18444900
09/03/2012,69.26201286,69.58852271,69.00029679,69.14004809,104729904,545.17,0,547.74,543.11,544.21,1,14961400
12/03/2012,70.12974136,70.12974136,69.4945082,69.74631462,101820701,552,0,552,547,548.982,1,14545800
13/03/2012,72.17519215,72.18535588,70.60616623,70.83357971,172713972,568.1,0,568.18,555.75,557.54,1,24673400
14/03/2012,74.90415383,75.55717352,73.10263257,73.43930615,354711354,589.58,0,594.72,575.4,578.05,1,50673000
15/03/2012,74.39342636,76.22925021,73.50282946,76.17843155,289929789,585.56,0,600.01,578.55,599.61,1,41418500
16/03/2012,74.39469683,74.85587611,73.43295382,74.28670719,206372106,585.57,0,589.2,578,584.72,1,29481700
19/03/2012,76.36773104,76.45285228,74.83681911,76.02089373,225309225,601.1,0,601.77,589.05,598.37,1,32187000
20/03/2012,76.98517767,77.10460151,73.94114035,76.16572689,204165704,605.96,0,606.9,582,599.51,1,29166500
21/03/2012,76.54559632,77.45397975,76.40711549,76.57608751,161010661,602.5,0,609.65,601.41,602.74,1,23001500
22/03/2012,76.14412896,76.79968959,75.66008129,75.94593622,155967855,599.34,0,604.5,595.53,597.78,1,22281100
23/03/2012,75.72614554,76.45666368,75.51664564,76.29023259,107622307,596.05,0,601.8,594.401,600.49,1,15374600
26/03/2012,77.11476524,77.13636317,75.6257787,76.20129995,148935648,606.98,0,607.15,595.26,599.79,1,21276500
27/03/2012,78.06761498,78.29629892,76.99788234,77.01312793,151782551,614.48,0,616.28,606.06,606.18,1,21683200
28/03/2012,78.46654141,78.95313002,77.53783053,78.56309685,163865263,617.62,0,621.45,610.31,618.38,1,23409300
29/03/2012,77.48065954,78.33187198,77.1465269,77.85163571,152059752,609.86,0,616.56,607.23,612.78,1,21722800
30/03/2012,76.17080876,77.56959218,75.96626368,77.34217871,182759682,599.55,0,610.56,597.94,608.77,1,26108500
02/04/2012,78.59485851,78.61264504,76.27625746,76.46047508,149588049,618.63,0,618.77,600.38,601.83,1,21369700
03/04/2012,79.95298702,80.32015179,79.08779945,79.69635282,208640108,629.32,0,632.21,622.51,627.3,1,29805700
04/04/2012,79.31648339,79.51340567,78.3877725,79.32156525,143245343,624.31,0,625.86,617,624.35,1,20463600
05/04/2012,80.50691034,80.63141604,79.20087095,79.6556979,160324660,633.68,0,634.66,623.4,626.98,1,22903500
09/04/2012,80.83087925,81.2895176,79.44225955,79.54770826,149384349,636.23,0,639.84,625.3,626.13,1,21340600
10/04/2012,79.84118598,81.81803159,79.5311922,81.30095179,222431522,628.44,0,644,626,639.93,1,31775900
11/04/2012,79.55660152,80.9121891,79.19352766,80.82706785,174153874,626.2,0,636.87,623.3422,636.2,1,24879100
12/04/2012,79.12083157,80.20835075,78.83243572,79.40414556,153584353,622.77,0,631.33,620.5,625,1,21940600
13/04/2012,76.89243363,79.36603157,76.67391342,79.29107406,214911414,605.23,0,624.7,603.51,624.11,1,30701600
16/04/2012,73.70356314,77.53401913,73.46471547,77.50606887,262696962,580.13,0,610.28,578.25,610.06,1,37528100
17/04/2012,77.46033208,77.49844607,72.65923982,73.55237765,256382256,609.7,0,610,571.91,578.94,1,36626000
18/04/2012,77.28754866,78.80067406,76.57227612,77.97105954,238633038,608.34,0,620.25,602.71,613.72,1,34090400
19/04/2012,74.63227403,76.82916441,74.26129786,76.25593,208680008,587.44,0,604.732,584.52,600.22,1,29811400
20/04/2012,72.79517972,75.54446886,72.46994034,75.13283776,257746557,572.98,0,594.62,570.42,591.38,1,36820900
23/04/2012,72.63256003,73.26398179,70.71669681,72.4940792,241632541,571.7,0,576.67,556.62,570.61,1,34518900
24/04/2012,71.18168748,72.12310303,70.51088126,71.47770614,269037569,560.28,0,567.69,555,562.61,1,38433900
25/04/2012,77.49844607,78.51481913,76.99025954,78.21435385,226444626,610,0,618,606,615.635,1,32349200
26/04/2012,77.20623881,78.09429478,76.49858907,78.04093519,134017234,607.7,0,614.69,602.13,614.27,1,19145300
27/04/2012,76.60911964,77.01312793,76.29150306,76.87210617,101680701,603,0,606.18,600.5,605.07,1,14525800
30/04/2012,74.19269268,76.02470513,74.06818698,75.94847715,126536326,583.98,0,598.4,583,597.8,1,18076600
01/05/2012,73.95765641,75.81634865,73.84331444,74.30957558,152749952,582.13,0,596.76,581.23,584.9,1,21821400
02/05/2012,74.44678595,74.62717946,73.54221392,73.71753827,106847406,585.98,0,587.3999,578.86,580.24,1,15263900
03/05/2012,73.91827195,75.1353787,73.72516107,75.02103673,97637497,581.82,0,591.4,580.3,590.5,1,13948200
04/05/2012,71.81310925,73.4786906,71.80294552,73.31607091,132498232,565.25,0,578.36,565.17,577.08,1,18928300
07/05/2012,72.3505165,72.76849993,71.30238178,71.33668437,115029715,569.48,0,572.77,561.23,561.5,1,16432800
08/05/2012,72.18535588,72.6071507,70.9847652,72.36322117,124313124,568.18,0,571.5,558.73,569.58,1,17759000
09/05/2012,72.31240251,72.92194685,71.25410406,71.61618697,120176120,569.18,0,573.9778,560.85,563.7,1,17168000
10/05/2012,72.482645,73.16361495,72.21851505,72.99845433,83300083,570.52,0,575.88,568.441,574.58,1,11900000
11/05/2012,71.99859733,72.9844792,71.69876728,71.78134759,99886599,566.71,0,574.47,564.35,565,1,14269500
14/05/2012,70.91997142,72.10023464,70.84120251,71.47262427,88156688,558.22,0,567.51,557.6,562.57,1,12593800
15/05/2012,70.27838592,71.55520458,70.0979797,71.33033204,119084119,553.17,0,563.22,551.75,561.45,1,17012000
16/05/2012,69.37699006,70.7509994,68.73731026,70.39018696,140224140,546.075,0,556.89,541.04,554.05,1,20032000
17/05/2012,67.34996103,69.55803151,67.34996103,69.27979939,179305179,530.12,0,547.5,530.12,545.31,1,25615000
18/05/2012,67.38299316,69.03841078,66.34121077,67.8378201,183073283,530.38,0,543.41,522.18,533.96,1,26153300
21/05/2012,71.30873411,71.34176624,67.8492543,67.90642529,157776657,561.28,0,561.54,534.05,534.5,1,22539500
22/05/2012,70.76116313,72.90952169,70.20342841,72.35940977,173717773,556.97,0,573.88,552.58,569.55,1,24816800
23/05/2012,72.48772687,72.77231133,70.28600872,70.82849784,146224546,570.56,0,572.8,553.23,557.5,1,20889200
24/05/2012,71.82200251,73.24238387,71.30238178,73.16234449,124057624,565.32,0,576.5,561.23,575.87,1,17722500
25/05/2012,71.43705121,71.88933723,70.95198717,71.72925847,82126882,562.29,0,565.85,558.472,564.59,1,11732400
29/05/2012,72.70497661,72.92476729,71.82073205,72.53092272,95127295,572.27,0,574,565.31,570.9,1,13589600
30/05/2012,73.58159838,73.68577662,71.97954034,72.31494345,132357532,579.17,0,579.99,566.56,569.2,1,18908200
31/05/2012,73.39865123,73.87761703,72.60206884,73.78106159,122918722,577.73,0,581.5,571.46,580.74,1,17559800
01/06/2012,71.27189059,72.75325433,71.21217867,72.30986158,130247030,560.99,0,572.65,560.52,569.16,1,18606700
04/06/2012,71.69114448,72.09896417,69.68507815,71.33668437,139249039,564.29,0,567.5,548.5,561.5,1,19892700
05/06/2012,71.5056564,71.96810614,70.93394655,71.30746365,97053697,562.83,0,566.47,558.33,561.27,1,13864800
06/06/2012,72.60206884,72.90571029,71.84487091,72.13326676,100364000,571.46,0,573.85,565.5,567.77,1,14337700
07/06/2012,72.63510096,73.34656211,72.48010407,73.34275071,94941794,571.72,0,577.32,570.5,577.29,1,13563100
08/06/2012,73.72770201,73.76124232,72.28953412,72.61985537,86879186,580.32,0,580.584,569,571.6,1,12411300
11/06/2012,72.56522531,74.76694346,72.49662013,74.66784709,147816347,571.17,0,588.5,570.63,587.72,1,21116600
12/06/2012,73.19918801,73.25762946,71.99732686,72.98320874,108845208,576.16,0,576.62,566.7,574.46,1,15549300
13/06/2012,72.69100148,73.4939362,72.46485847,72.99083153,73395073,572.16,0,578.48,570.38,574.52,1,10485000
